estimator,universe,portfolio,mean,vol,excess_mean,sharpe
sample,industry,GMV,0.007948741396347995,0.029015379349600395,0.005917724026620953,0.2039512892566215
sample,industry,TAN,0.019733902161392147,0.05018488351992285,0.017702884791665104,0.35275333028594663
sample,stock,GMV,0.010145723458042911,0.03159715623368393,0.00811470608831587,0.2568176081512438
sample,stock,TAN,0.01560393898039928,0.04086469584016104,0.013572921610672238,0.33214297406645643
bs_mean,industry,GMV,0.007948741396347995,0.029015379349600395,0.005917724026620953,0.2039512892566215
bs_mean,industry,TAN,0.011117263336023132,0.035953663009272066,0.00908624596629609,0.25272100825868127
bs_mean,stock,GMV,0.01014572345804291,0.03159715623368393,0.008114706088315868,0.25681760815124377
bs_mean,stock,TAN,0.010875985847250027,0.032988285540020756,0.008844968477522985,0.2681245276233722
bs_mean_cov,industry,GMV,0.007980221627671865,0.029139405396045478,0.005949204257944823,0.20416354339036005
bs_mean_cov,industry,TAN,0.010971781358254275,0.035722229879114574,0.008940763988527233,0.2502857189705998
bs_mean_cov,stock,GMV,0.010195579970720616,0.03133955743537523,0.008164562600993575,0.26051939686224285
bs_mean_cov,stock,TAN,0.010878708375664407,0.03262431270086343,0.008847691005937365,0.27119930730994996
